,validated,accepted,committed, ,avg_accep,avg_comm
840,11,24,128,,,
841,10,22,110,,,
842,10,21,120,,,
843,9,21,118,,,
844,11,1824,2998,,,
845,10,22,104,,,
846,11,22,135,,,
847,10,24,92,,,
848,12,26,90,,,
849,11,23,88,,,
850,10,22,84,,,
851,9,21,81,,,
852,11,23,84,,,
853,11,23,84,,,
854,10,22,119,,,
855,10,21,83,,,
856,11,23,115,,,
857,10,21,119,,,
858,10,23,117,,,
859,10,22,109,,,
860,9,21,116,,,
861,11,23,120,,,
862,9,21,104,,,
863,11,22,81,,,
864,10,21,119,,,
865,11,23,86,,,
866,11,22,85,,,
867,11,24,95,,,
868,10,22,83,,,
869,10,21,82,,,
870,11,23,114,,,
871,10,22,83,,,
872,10,22,117,,,
873,10,21,84,,,
874,11,23,83,,,
875,9,21,108,,,
876,10,508,612,,,
877,11,23,86,,,
878,9,22,85,,,
879,9,21,84,,,
880,11,22,103,,,
881,10,21,83,,,
882,10,22,86,,,
883,12,24,87,,,
884,10,22,82,,,
885,10,21,84,,,
886,11,529,637,,,
887,10,22,82,,,
888,10,21,85,,,
889,12,25,91,,,
890,10,21,81,,,
891,10,22,85,,,
892,10,22,86,,,
893,11,23,85,,,
894,11,24,87,,,
895,10,21,83,,,
896,9,21,117,,,
897,11,24,84,,,
898,11,24,86,,,
899,10,22,82,,,
900,11,22,84,,,
901,10,22,119,,,
902,10,22,86,,,
903,11,22,138,,,
904,10,22,83,,,
905,9,21,80,,,
906,10,23,83,,,
907,10,22,83,,,
908,10,22,82,,,
909,12,23,85,,,
910,9,21,81,,,
911,10,1661,1769,,,
912,11,1490,1599,,,
913,13,26,87,,,
914,17,272,373,,,
915,12,23,85,,,
916,11,22,81,,,
917,10,22,82,,,
918,11,23,112,,,
919,10,22,83,,,
920,10,23,86,,,
921,11,22,119,,,
922,10,21,82,,,
923,10,21,126,,,
924,10,24,112,,,
925,11,23,84,,,
926,10,21,117,,,
927,10,21,117,,,
928,11,23,115,,,
929,10,22,112,,,
930,11,24,86,,,
931,9,22,83,,,
932,11,22,82,,,
933,9,21,83,,,
934,10,22,84,,,
935,11,23,111,,,
936,11,23,304,,,
937,10,21,83,,,
938,10,22,107,,,
939,11,22,123,,,
940,11,22,106,,,
941,10,22,82,,,
942,11,25,791,,,
943,9,20,80,,,
944,11,23,104,,,
945,11,23,86,,,
946,11,24,85,,,
947,9,21,81,,,
948,11,23,85,,,
949,11,24,85,,,
950,12,24,470,,,
951,11,22,121,,,
952,11,24,85,,,
953,10,24,92,,,
954,13,26,91,,,
955,10,22,85,,,
956,11,22,86,,,
957,10,22,103,,,
958,12,24,108,,,
959,10,22,85,,,
960,9,21,101,,,
961,9,21,84,,,
962,11,23,100,,,
963,10,22,118,,,
964,11,22,108,,,
965,10,21,83,,,
966,10,22,81,,,
967,11,22,92,,,
968,11,23,83,,,
969,11,22,111,,,
970,11,23,86,,,
971,11,22,82,,,
972,11,22,85,,,
973,9,21,129,,,
974,10,21,81,,,
975,10,22,83,,,
976,11,22,89,,,
977,9,21,82,,,
978,11,23,117,,,
979,11,22,83,,,
980,11,23,119,,,
981,11,24,86,,,
982,10,23,110,,,
983,11,23,84,,,
984,11,24,86,,,
985,11,24,85,,,
986,11,22,84,,,
987,11,24,85,,,
988,10,22,103,,,
989,12,25,117,,,
990,10,22,84,,,
991,10,22,131,,,
992,13,762,1484,,,
993,11,23,85,,,
994,10,316,426,,,
995,15,28,98,,,
996,10,23,87,,,
997,10,23,84,,,
998,11,22,84,,,
999,9,21,82,,,
1000,10,23,85,,,
1001,11,23,82,,,
1002,10,22,84,,,
1003,10,22,118,,,
1004,11,23,87,,,
1005,11,24,83,,,
1006,8,19,78,,,
1007,11,22,83,,,
1008,11,24,86,,,
1009,11,22,84,,,
1010,11,27,120,,,
1011,9,21,81,,,
1012,12,737,1342,,,
1013,9,20,115,,,
1014,11,22,86,,,
1015,11,23,85,,,
1016,9,21,84,,,
1017,11,25,125,,,
1018,12,25,94,,,
1019,10,22,83,,,
1020,10,22,106,,,
1021,11,23,84,,,
1022,10,22,85,,,
1023,10,23,87,,,
1024,11,24,86,,,
1025,11,23,111,,,
1026,10,22,82,,,
1027,11,23,85,,,
1028,11,23,658,,,
1029,10,22,84,,,
1030,10,21,82,,,
1031,10,22,83,,,
1032,9,22,115,,,
1033,11,24,85,,,
1034,11,23,84,,,
1035,10,22,122,,,
1036,11,22,83,,,
1037,12,24,104,,,
1038,10,23,84,,,
1039,11,22,118,,,
1040,11,24,127,,,
1041,11,22,99,,,
1042,11,22,81,,,
1043,9,21,115,,,
1044,11,23,83,,,
1045,10,21,118,,,
1046,11,1595,2744,,,
1047,10,22,128,,,
1048,10,22,108,,,
1049,10,23,121,,,
1050,11,23,613,,,
1051,10,21,84,,,
1052,10,23,84,,,
1053,10,22,81,,,
1054,11,24,85,,,
1055,12,24,86,,,
1056,10,22,82,,,
1057,10,22,83,,,
1058,9,20,118,,,
1059,11,23,115,,,
1060,10,24,86,,,
1061,11,23,85,,,
1062,11,22,114,,,
1063,11,23,81,,,
1064,10,22,82,,,
1065,11,22,83,,,
1066,11,23,83,,,
1067,11,23,109,,,
1068,9,23,85,,,
1069,11,24,103,,,
1070,11,22,85,,,
1071,11,24,91,,,
1072,11,23,94,,,
1073,11,23,109,,,
1074,11,23,127,,,
1075,9,21,116,,,
1076,11,23,84,,,
1077,11,24,86,,,
1078,11,23,83,,,
1079,10,22,83,,,
1080,11,24,85,,,
1081,10,22,82,,,
1082,11,22,82,,,
1083,9,22,121,,,
1084,10,22,83,,,
1085,11,22,84,,,
1086,10,22,121,,,
1087,11,22,85,,,
1088,10,22,83,,,
1089,10,22,84,,,
1090,11,23,118,,,
1091,11,2171,3914,,,
1092,11,24,86,,,
1093,11,23,84,,,
1094,11,23,85,,,
1095,11,23,85,,,
1096,10,22,104,,,
1097,10,21,105,,,
1098,10,21,101,,,
1099,11,23,84,,,
1100,10,22,82,,,
1101,10,21,83,,,
1102,9,21,112,,,
1103,11,23,84,,,
1104,9,21,83,,,
1105,10,22,82,,,
1106,10,23,126,,,
1107,14,28,125,,,
1108,11,22,119,,,
1109,11,685,1640,,,
1110,9,21,82,,,
1111,10,22,84,,,
1112,19,248,353,,,
1113,10,22,86,,,
1114,10,22,82,,,
1115,10,22,106,,,
1116,11,24,105,,,
1117,9,20,80,,,
1118,10,22,83,,,
1119,11,46,174,,,
1120,10,511,615,,,
1121,12,24,87,,,
1122,11,23,83,,,
1123,10,22,84,,,
1124,11,23,83,,,
1125,10,21,98,,,
1126,10,22,84,,,
1127,11,23,83,,,
1128,10,22,127,,,
1129,11,23,122,,,
1130,13,1046,1154,,,
1131,11,22,109,,,
1132,11,23,84,,,
1133,10,21,107,,,
1134,9,21,80,,,
1135,12,24,83,,,
1136,9,21,82,,,
1137,11,23,84,,,
1138,11,23,87,,,
1139,11,23,104,,,
1140,11,22,101,,,
1141,11,23,86,,,
1142,10,23,85,,,
1143,11,23,141,,,
1144,10,21,82,,,
1145,13,25,119,,,
1146,10,21,81,,,
1147,10,21,84,,,
1148,11,25,120,,,
1149,9,21,81,,,
1150,10,21,119,,,
1151,10,23,84,,,
1152,11,23,117,,,
1153,10,22,117,,,
1154,12,23,85,,,
1155,10,24,88,,,
1156,11,22,84,,,
1157,11,24,86,,,
1158,11,22,113,,,
1159,9,21,83,,,
1160,9,21,82,,,
1161,11,177,287,,,
1162,10,23,87,,,
1163,10,21,105,,,
1164,10,21,113,,,
1165,11,25,92,,,
1166,10,22,82,,,
